,Set_Name,Theme,Price,Pieces,Pages,Minifigures,Unique_Pieces
1153,Demon Bull King,Monkie Kid,89.99,585.0,200.0,3.0,264.0
1154,Skull Sorcerer's Dragon,NINJAGO,79.99,1016.0,200.0,6.0,303.0
1156,Alpaca Mountain Jungle Rescue,Friends,59.99,512.0,208.0,2.0,270.0
1157,Pigsy's Food Truck,Monkie Kid,69.99,455.0,212.0,4.0,299.0
1159,Heartlake City Brick Box,Friends,39.99,321.0,220.0,2.0,121.0
1160,Y-wing Starfighter,Star Wars,199.99,1967.0,220.0,2.0,359.0
1162,Red Son's Inferno Truck,Monkie Kid,119.99,1111.0,244.0,5.0,350.0
1164,Skull Sorcerer's Dungeons,NINJAGO,99.99,1171.0,256.0,8.0,425.0
1165,Monkey King Warrior Mech,Monkie Kid,149.99,975.0,272.0,6.0,435.0
1166,Haunted House,Creator Expert,249.99,3231.0,312.0,8.0,467.0
1167,Destiny's Bounty,NINJAGO,129.99,1781.0,316.0,7.0,479.0
1169,Ski Resort,City,89.99,806.0,328.0,11.0,348.0
1170,Disney Train and Station,Powered UP,329.99,2925.0,397.0,5.0,509.0
1171,1989 Batmobile,Batman,249.99,3306.0,404.0,3.0,484.0
1172,Tree House,Ideas,199.99,3036.0,428.0,4.0,482.0
1173,Welcome to Apocalypseburg!,THE LEGO MOVIE 2,299.99,3178.0,452.0,13.0,692.0
1174,Jurassic Park: T. rex Rampage,Jurassic World,249.99,3120.0,464.0,6.0,525.0
1175,Monkie Kid's Team Secret HQ,Monkie Kid,169.99,1105.0,556.0,7.0,622.0
